deal_id,acquirer_name,target_name,announcement_date,closing_date,transaction_form,deal_status,ai_category,ai_relevance_evidence,talent_motive,source_url,source_accession,source_document_id,source_quality,supporting_excerpt,verification_status,confidence,missingness_reason
3711060020,Shareholders,Postmates Inc-Robotics Div,2021-03-02,unknown,stock/asset acquisition (unspecified),unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3716276020,Snow Phipps Group LLC,AI Fire LLC,2021-03-23,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3727571020,AppHarvest Inc,Root AI Inc,2021-04-08,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products)); artificial intelligence",not_documented_in_reviewed_sources,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,,supp_f56ffb1c8870a6f6,official_company_press_release_distributor,"More Browse the Latest News AppHarvest Acquires Agricultural Robotics and Artificial Intelligence Company Root AI to Increase Efficiency April 08, 2021 06:00 ET | Source: AppHarvest AppHarvest Acquisition of Root AI and its signature robot, Virgo, bolsters company’s intelligent tools",qualifying_machine_verified_pending_human_review,high,
3728982040,Life Clips Inc,Cognitive Apps Software,2021-04-15,unknown,asset purchase,unclear,ai_company_acquisition,artificial intelligence,not_documented_in_reviewed_sources,https://www.globenewswire.com/news-release/2021/04/06/2204941/0/en/Life-Clips-Closes-Transaction-to-Acquire-Cognitive-Apps-Software-Solutions-Inc.html,,supp_f0f18f18d45e2547,official_company_press_release_distributor,"Life Clips closed the acquisition of Cognitive Apps Software Solutions, a developer of artificial intelligence applications for healthcare and psychedelic research.",qualifying_machine_verified_pending_human_review,medium,
3739054020,Augmented Reality Concepts Inc,Pulsar AI Inc,2021-05-11,unknown,asset purchase,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3741554020,Ondas Holdings Inc,Amer Robotics Inc,2021-05-17,unknown,statutory merger,unclear,unknown,acquirer_not_resolved_on_edgar,unknown,,,,not_applicable,,not_qualifying_no_primary_source_found,not_applicable,acquirer_not_resolved_on_edgar
3742169040,SkySpecs Inc,Vertikal AI ApS,2021-05-17,unknown,asset purchase,unclear,ai_company_acquisition,applied ai,not_documented_in_reviewed_sources,https://skyspecs.com/blog/skyspecs-acquires-fincovi-and-vertikal-ai/,,supp_c0a01e7012c4bb9e,official_company_announcement,"SkySpecs acquired Vertikal AI, a pioneer in predictive maintenance for wind energy. Vertikal AI uses data analytics and applied AI to optimize wind-turbine health.",qualifying_machine_verified_pending_human_review,medium,
3754779020,Liveaction Inc,CounterFlow AI Inc,2021-05-04,unknown,asset purchase,unclear,ai_company_acquisition,machine learning,not_documented_in_reviewed_sources,https://www.liveaction.com/press/liveaction-acquires-counterflow-ai-to-expand-network-security-offerings/,,supp_bfe94cddfded4cfb,official_company_announcement,CounterFlow AI’s unique security portfolio will help LiveAction partners and customers gain end-to-end network visibility. Its Streaming Machine Learning Engine processes packet data in real-time.,qualifying_machine_verified_pending_human_review,medium,
3759466020,Hewlett Packard Enterprise Co,Determined.ai Inc,2021-06-21,unknown,asset purchase,unclear,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products)); computer vision; deep learning; generative ai",not_documented_in_reviewed_sources,https://developer.hpe.com/blog/determined-ai-is-joining-hewlett-packard-enterprise/,,supp_dfc2ba2af0730b1a,official_company_announcement,"ents Training Join the Community Neil Conway, Evan Sparks, Ameet Talwalkar Determined AI is Joining Hewlett Packard Enterprise October 12, 2021 Editor’s Note: Determined AI products and solutions sold prior to the acquisition of such assets by Hewlett Packard Enterprise Company in 2021 may have older product names that differ from current solutions. Today is a big day for Determined AI, our customers, and our",qualifying_machine_verified_pending_human_review,high,
3763322020,Sighthound Inc,Boulder Ai Inc,2021-06-21,unknown,asset purchase,unclear,ai_company_acquisition,computer vision,not_documented_in_reviewed_sources,https://www.sighthound.com/news/sighthound-acquires-boulder-ai-to-move-computer-vision-to-the-edge-for-real-time-video-intelligence,,supp_24cb4b6a72c57ba6,official_company_announcement,Sighthound announced it would acquire Boulder AI to move computer vision to the edge. Boulder AI provides smart cameras and edge-computing solutions.,qualifying_machine_verified_pending_human_review,medium,
