held_out_deal,status,mean_top_term_jaccard
3078525020,ok,0.9487
3153170020,ok,0.9487
3201487020,ok,0.9487
3257183040,ok,0.9487
3348911020,ok,1.0
3623364020,ok,1.0
3701621020,ok,0.9487
3727571020,ok,0.8535
3767523020,ok,0.2303
3769973020,ok,1.0
