passage_id,deal_id,document_family,token_count,count_positive,count_negative,count_hedging,count_modality,count_protection_program,count_retention,count_pay_wages,count_benefits,count_equity_vesting,count_termination_severance,count_employee_workforce,rate_positive_per100,rate_negative_per100,rate_hedging_per100,rate_modality_per100,rate_protection_program_per100,rate_retention_per100,rate_pay_wages_per100,rate_benefits_per100,rate_equity_vesting_per100,rate_termination_severance_per100,rate_employee_workforce_per100,raw_or_adjusted,rate_benefits_per100_adjusted,baseline_mean_benefits,baseline_fallback_benefits,rate_employee_workforce_per100_adjusted,baseline_mean_employee_workforce,baseline_fallback_employee_workforce,rate_equity_vesting_per100_adjusted,baseline_mean_equity_vesting,baseline_fallback_equity_vesting,rate_hedging_per100_adjusted,baseline_mean_hedging,baseline_fallback_hedging,rate_modality_per100_adjusted,baseline_mean_modality,baseline_fallback_modality,rate_negative_per100_adjusted,baseline_mean_negative,baseline_fallback_negative,rate_pay_wages_per100_adjusted,baseline_mean_pay_wages,baseline_fallback_pay_wages,rate_positive_per100_adjusted,baseline_mean_positive,baseline_fallback_positive,rate_protection_program_per100_adjusted,baseline_mean_protection_program,baseline_fallback_protection_program,rate_retention_per100_adjusted,baseline_mean_retention,baseline_fallback_retention,rate_termination_severance_per100_adjusted,baseline_mean_termination_severance,baseline_fallback_termination_severance
passage_2958eb660ddb6681,3767523020,official_announcement,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_29a9ba25f48663f5,3767523020,official_announcement,22,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5455,raw_and_baseline_adjusted,-0.0063,0.0063,0,1.0117,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_2cf3c77a8aa72614,3153170020,official_announcement,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_2ffc7e5b56643e2b,3767523020,official_announcement,14,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1429,raw_and_baseline_adjusted,-0.0063,0.0063,0,3.6091,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_3c8b0198869c1ac7,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_4204551be0436452,3939905020,official_announcement,12,1,0,0,0,0,1,0,0,0,0,0,8.3333,0.0,0.0,0.0,0.0,8.3333,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,7.7812,0.5521,0,0.0,0.0,0,8.1986,0.1347,0,-0.0063,0.0063,0
passage_46c26553e663b974,3984774040,official_announcement,203,0,0,4,5,0,0,0,0,0,0,1,0.0,0.0,1.9704,2.4631,0.0,0.0,0.0,0.0,0.0,0.0,0.4926,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.0412,3.5338,0,0.0,0.0,0,1.8416,0.1288,0,2.2591,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_47b20fe4d63ccae0,3257183040,official_announcement,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,46.4662,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_47c22e2904d71f3f,3348911020,official_announcement,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_4cc3d2a5e68feaff,3767523020,official_announcement,12,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3333,raw_and_baseline_adjusted,-0.0063,0.0063,0,4.7995,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_56d4e1a500d9b445,3257183040,official_announcement,220,2,0,0,1,0,0,0,0,0,0,0,0.9091,0.0,0.0,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,0.2505,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.357,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_57b4e08be826d747,3767523020,official_announcement,11,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0909,raw_and_baseline_adjusted,-0.0063,0.0063,0,5.5571,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_5b9ea1ff628a1d67,3767523020,official_announcement,22,1,0,0,0,0,0,0,0,0,0,1,4.5455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5455,raw_and_baseline_adjusted,-0.0063,0.0063,0,1.0117,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,3.9934,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_5c8cb89d9f16a1da,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923,raw_and_baseline_adjusted,-0.0063,0.0063,0,4.1585,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_5d4b855751cf2fbf,3201487020,official_announcement,76,1,0,0,0,0,0,0,0,0,0,0,1.3158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,0.7637,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_6165a0701c7135a5,3767523020,official_announcement,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_63175763f5942696,3984774040,official_announcement,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
passage_68a024fb024bc605,3767523020,official_announcement,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw_and_baseline_adjusted,-0.0063,0.0063,0,-3.5338,3.5338,0,0.0,0.0,0,-0.1288,0.1288,0,-0.204,0.204,0,-0.0189,0.0189,0,0.0,0.0,0,-0.5521,0.5521,0,0.0,0.0,0,-0.1347,0.1347,0,-0.0063,0.0063,0
