deal_id,passages,tokens,mean_net_tone_per100,mean_net_tone_residual,mean_hedge_per100,mean_hedge_residual,mean_negout_per100,mean_negout_residual,mean_protect_per100,mean_protect_residual,mean_modality_shall_share
2647141020,1,161,0.621118,-0.030454,1.863354,1.381887,0.000000,-0.017046,0.000000,-0.789546,0.000000
3083608020,26,3220,0.321987,0.311508,0.383338,-0.396453,0.064548,0.014793,0.768272,-0.229226,0.384615
3307784020,3,363,1.782016,1.130445,0.146843,-0.334624,0.000000,-0.017046,0.146843,-0.642703,0.000000
3480790020,59,8361,0.441886,0.096273,0.696450,0.096111,0.011770,-0.047067,0.949035,-0.045414,0.351090
3500925040,2,181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3501600020,38,3908,0.831512,0.821033,0.294919,-0.484873,0.000000,-0.049755,0.415190,-0.582308,0.270175
3508567020,9,802,-2.213633,-2.121422,0.454545,-0.415996,0.000000,-0.029614,0.798358,-0.237035,0.000000
3510405040,4,803,-0.290941,-0.461693,1.032333,0.327123,0.000000,-0.041578,0.568182,-0.377328,0.416667
3510982020,1,50,0.000000,0.073547,0.000000,-0.656471,0.000000,-0.007553,0.000000,-0.910563,0.000000
3515714020,53,6171,0.598119,0.254517,0.545955,-0.057242,0.034883,-0.021319,0.608962,-0.372249,0.307278
3517450020,220,25221,-0.358096,-0.620638,0.982131,0.167031,0.018196,-0.038175,1.111848,0.136357,0.121061
3517988020,6,606,-0.557791,-0.872869,1.138998,0.335743,0.000000,-0.036326,0.198413,-0.773798,0.000000
3519983020,93,11731,0.203326,-0.223226,0.739406,0.183400,0.056954,-0.005173,1.217887,0.219795,0.253840
3520113020,17,1905,0.388054,0.377576,0.693453,-0.086338,0.000000,-0.049755,0.557134,-0.440364,0.568627
3520778020,2,205,-1.176471,-1.618125,0.000000,-0.546471,0.000000,-0.063256,0.588235,-0.408366,0.000000
3521692020,20,1400,0.250997,-0.046582,0.573196,-0.074358,0.108696,0.065485,0.112935,-0.869930,0.200000
3522125040,4,197,0.757576,0.106004,0.943732,0.462265,0.000000,-0.017046,0.000000,-0.789546,0.000000
3523484020,34,3564,0.424613,-0.026585,0.314233,-0.227826,0.122346,0.066165,0.525679,-0.444032,0.117647
3525025040,68,8390,-0.163751,-0.145536,0.806234,-0.104456,0.000000,-0.094640,0.755556,-0.249193,0.073529
3526012020,40,5373,-0.048107,-0.489761,0.311629,-0.234842,0.026755,-0.036501,1.564598,0.567997,0.441667
3545651040,28,1627,0.263101,-0.153473,0.301094,-0.261211,0.024462,-0.036921,0.114926,-0.884150,0.130952
3560444020,3,270,1.217733,0.566161,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3567824020,46,5305,0.031626,0.337579,0.767324,-0.044437,0.021739,-0.141219,0.723375,-0.310620,0.263043
3571964020,1,104,0.000000,0.107107,1.923077,1.001289,0.000000,-0.079017,0.961538,-0.118862,1.000000
3575962020,94,18252,-0.286375,-0.499606,0.753339,0.078185,0.072243,0.019207,0.629992,-0.367018,0.468313
3584303020,1,221,0.904977,1.165575,2.714932,1.725126,0.000000,-0.010800,0.452489,-0.613400,0.000000
3586998020,19,2068,0.348086,-0.056608,0.357550,-0.212254,0.000000,-0.060495,0.690053,-0.310195,0.105263
3590925020,2,100,1.315789,1.576387,0.000000,-0.989806,0.000000,-0.010800,0.000000,-1.065889,0.000000
3593724020,2,148,1.352339,0.700768,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3595648020,205,26023,-0.385744,-0.383223,1.119438,0.179559,0.017814,-0.053751,1.262541,0.214989,0.091463
3600947020,223,25241,-0.346390,-0.347609,0.858201,0.007691,0.036033,-0.030825,1.656831,0.613289,0.169532
3601404020,118,15128,-0.294258,-0.727568,0.593611,0.040727,0.092752,0.031169,1.231670,0.237404,0.364972
3601877020,45,3853,0.382552,-0.027892,0.338274,-0.227901,0.020020,-0.040904,0.670212,-0.329469,0.111111
3614604040,2,221,0.000000,-0.651572,0.909166,0.427698,0.000000,-0.017046,0.000000,-0.789546,0.000000
3617548020,226,26640,-0.135021,-0.149712,0.946860,0.086658,0.069209,0.002278,1.214939,0.156594,0.137906
3618415020,72,8898,0.275680,0.023261,0.698561,0.081933,0.042961,-0.034283,0.711450,-0.279273,0.206019
3620234020,12,1659,2.229135,2.165232,0.697266,-0.057665,0.000000,-0.047029,1.220798,0.240629,0.083333
3622082020,98,12026,0.237628,-0.051640,0.550330,-0.077893,0.019882,-0.039767,0.937512,-0.058063,0.222449
3623613020,48,5332,0.766707,0.335309,0.588391,0.034038,0.046288,-0.014913,0.265969,-0.727762,0.312500
3626914020,2,251,0.256410,-0.032602,0.000000,-0.568969,0.000000,-0.012299,0.000000,-0.850055,0.000000
3627288020,79,14398,-0.056349,-0.495251,0.438255,-0.117646,0.033009,-0.022990,0.610620,-0.365024,0.496484
3628930020,2,180,1.063830,0.868343,1.282051,0.546415,0.000000,-0.013923,0.000000,-0.927717,0.000000
3632181020,83,10181,0.137414,-0.289848,0.616524,0.060153,0.075016,0.013581,0.890350,-0.105427,0.325301
3633524040,1,146,-1.369863,-1.296316,0.684932,0.028461,0.000000,-0.007553,0.000000,-0.910563,0.000000
3637667020,1,81,0.000000,-0.651572,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3638083020,77,10151,0.016217,-0.400804,0.607102,0.044202,0.085030,0.024418,1.328268,0.331656,0.529221
3644431020,68,6665,0.728667,0.843816,0.498820,-0.288655,0.032680,-0.065747,2.168240,1.157270,0.236520
3645132020,3,230,2.027972,1.376400,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3646001020,431,38196,0.652979,0.545132,0.890320,-0.025599,0.072605,0.016384,1.119796,0.071882,0.083527
3646630020,4,799,-1.503663,-1.243065,0.787338,-0.202468,0.000000,-0.010800,1.634553,0.568665,0.000000
3647181020,60,8907,0.119259,-0.188525,0.544640,-0.075328,0.042044,-0.016513,0.816786,-0.181224,0.352183
3647386020,3,269,-0.580645,-1.232217,0.000000,-0.481467,0.000000,-0.017046,1.282051,0.492505,0.000000
3654636020,1,33,6.060606,5.409034,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3657350020,215,22883,-0.000532,-0.147364,0.946872,-0.017277,0.059293,0.013327,0.997840,-0.065703,0.002326
3659026020,39,5100,0.861523,0.409103,0.490030,-0.053107,0.011655,-0.049231,1.033921,0.047938,0.474359
3659168020,2,141,0.000000,-0.651572,0.000000,-0.481467,0.000000,-0.017046,0.000000,-0.789546,0.000000
3659942020,2,254,-1.562500,-1.757987,1.126126,0.390490,0.000000,-0.013923,0.000000,-0.927717,0.000000
3662022040,26,2835,0.525166,0.422679,0.533209,-0.213445,0.000000,-0.038970,0.802013,-0.163386,0.226190
3663654020,107,9089,-0.191866,-0.208167,0.792543,0.058818,0.412891,0.288541,0.812365,-0.132306,0.009346
3665091020,21,2401,0.752673,0.101102,0.021645,-0.459822,0.000000,-0.017046,1.403833,0.614286,0.000000
3665297040,7,831,1.742162,1.595329,0.947954,-0.016196,0.000000,-0.045966,0.852582,-0.210961,0.000000
