topic_id,top_terms,primary_passage_count,document_family_count,deal_count,coherence,stability_median_cosine,stability_recovery_rate,disclosure_salience,assignment_specificity,top_positive_residual_terms,top_positive_residual_scores
topic_1,executive|chief|officer|executive officer|chief executive|said|customers|continue|board|growth,4100,3650,217,0.309371569,0.9134390773,0.8151260504,0.220322587,0.4774472823,compensation|executive|officers|executive officers|board|directors|mr|may|named executive|named,0.054835827|0.05393210576|0.04238221334|0.03980089095|0.03814700635|0.03342688288|0.03308877621|0.03235705982|0.03057472693|0.02982476978
topic_2,plan|employee|benefit|erisa|benefit plan|employment|employees|compensation|pension|employee benefit,7689,7123,185,0.19839942,0.9460120135,0.9201680672,0.5668050277,0.6030876549,employment|employee|employees|benefits|benefit|plan|termination|benefit plan|compensation|tax,0.042756526|0.03605600076|0.0293715973|0.02812484607|0.02776991719|0.02666454322|0.02629037945|0.02530069052|0.0231239847|0.02206569609
topic_3,stock|shares|common|common stock|restricted|restricted stock|merger|options|share|effective,4384,3829,172,0.3987802574,0.9969342798,0.9957983193,0.2128723853,0.5984033879,option|awards|stock|options|vesting|shares|award|incentive|equity|units,0.04214641594|0.04012165951|0.03988018696|0.03893703712|0.03754264347|0.03718944111|0.03619771348|0.03340301634|0.03290813312|0.03285436651
