deal_id,passages,tokens,mean_net_tone_per100,mean_net_tone_residual,mean_hedge_per100,mean_hedge_residual,mean_negout_per100,mean_negout_residual,mean_protect_per100,mean_protect_residual,mean_modality_shall_share
3770172020,78,10919,-0.036924,-0.068260,0.674516,-0.072960,0.100294,0.065218,0.953667,-0.121674,0.260980
3771128020,17,1877,1.048319,0.850414,0.892675,-0.049762,0.000000,-0.044967,1.312909,0.188277,0.000000
3772512020,217,23427,0.054690,0.350447,1.006754,-0.002330,0.084272,-0.015207,0.997556,-0.138767,0.288637
3774506020,21,1855,0.602080,0.483428,1.178300,0.397381,0.000000,-0.046802,2.951187,1.825683,0.174603
3774828020,26,2609,-0.319856,-0.487082,0.643433,-0.040678,0.000000,-0.016458,0.764146,-0.170335,0.000000
3776684040,124,11544,-0.935036,-1.162002,1.107149,0.168279,0.062812,0.015968,1.199126,0.071487,0.087097
3776705020,1,94,2.127660,1.455516,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3779981020,113,13169,-0.190201,-0.428985,0.953190,0.056315,0.043902,-0.004099,1.086292,-0.024222,0.300885
3781204040,47,6257,0.605844,0.176420,0.478546,-0.081927,0.035461,-0.017480,0.752794,-0.207843,0.165957
3782679020,40,3892,0.425576,-0.021670,0.312771,-0.233477,0.063821,0.003085,1.284871,0.306756,0.181250
3782956020,2,213,3.147043,2.474900,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3783818020,84,10428,1.034539,0.690890,0.494124,-0.113895,0.022046,-0.039537,1.536445,0.509786,0.132110
3786837020,8,1143,0.654844,0.427878,0.242195,-0.696674,0.000000,-0.046844,1.658632,0.530993,0.000000
3787010040,15,1885,-0.701556,-0.792533,0.571769,-0.224276,0.000000,-0.048267,1.601202,0.458729,0.234286
3791099020,14,1391,-0.690872,-0.917838,1.398052,0.459183,0.034176,-0.012667,0.642352,-0.485287,0.035714
3791317020,56,6833,0.907996,0.501063,0.399151,-0.166883,0.053831,-0.010318,1.188136,0.183093,0.229167
3791426020,131,14929,0.143320,0.145782,0.579990,-0.220133,0.038029,-0.041989,0.977083,-0.120298,0.278626
3791776040,101,10452,-0.879975,-0.970952,1.710826,0.914782,0.063006,0.014739,1.443426,0.300953,0.182508
3791886040,534,54374,-0.372735,-0.417515,0.869133,0.141523,0.114895,0.074201,1.106921,-0.067636,0.141183
3793545020,140,15113,0.695088,0.468122,0.768433,-0.170436,0.015102,-0.031741,0.709911,-0.417727,0.166667
3797368040,33,4412,0.260635,-0.154483,0.502213,-0.053728,0.162614,0.095701,0.638194,-0.367351,0.369192
3797706020,52,5930,1.158679,0.919147,0.262399,-0.351035,0.039765,-0.009633,1.199596,0.202036,0.262821
3798372020,82,10952,0.148261,-0.276260,0.642995,0.089892,0.109540,0.044436,0.508755,-0.488762,0.317683
3799280020,81,8722,0.047789,-0.038767,0.520413,-0.278144,0.012179,-0.035677,1.128550,-0.013110,0.308642
3799747020,107,13352,0.798731,0.614207,0.864267,-0.068464,0.028888,-0.024778,1.196451,0.045465,0.124611
3801639020,159,14505,-0.037074,-0.252066,0.731007,-0.195286,0.017801,-0.029168,2.001264,0.872319,0.061845
3805188020,54,6839,0.428261,0.013143,0.400770,-0.155171,0.089597,0.022684,0.845414,-0.160131,0.206790
3808473040,2,162,2.285472,1.613328,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
3810070020,94,11437,-0.141981,-0.506555,0.524290,-0.114415,0.049514,-0.012450,1.114423,0.083988,0.238475
3812022020,88,8913,0.483616,0.256650,0.902786,-0.036083,0.007576,-0.039268,0.186238,-0.941400,0.022727
3812049020,121,13429,1.607548,1.199457,0.730594,0.168603,0.016205,-0.049032,0.629251,-0.373840,0.306612
3812478020,3,427,-0.676182,-0.767159,0.523560,-0.272484,0.000000,-0.048267,0.258398,-0.884076,0.250000
3813395020,213,19672,-0.570752,-0.774096,1.207254,0.293195,0.035633,-0.011458,1.527306,0.397091,0.245775
3815183020,83,10087,0.697377,0.469231,0.587922,-0.062781,0.031582,-0.051360,1.020677,-0.007940,0.280694
3816687020,31,3701,0.737076,0.646099,0.934974,0.138930,0.000000,-0.048267,1.562563,0.420090,0.276882
3820535020,82,10253,-0.308300,-0.582301,0.746132,0.020521,0.031400,-0.027871,0.686202,-0.309715,0.328659
3822763020,39,4445,2.353771,1.938653,0.419307,-0.136634,0.137286,0.070374,1.344436,0.338892,0.273260
3823769020,130,15017,-0.029267,-0.232498,0.964696,0.253555,0.012588,-0.039084,0.915316,-0.157948,0.362985
3827627020,23,2728,0.777781,0.686804,0.978753,0.182708,0.000000,-0.048267,2.817306,1.674833,0.305072
3829259020,19,2359,0.143266,-0.083701,0.612918,-0.325951,0.000000,-0.046844,0.727411,-0.400227,0.117544
3830602020,3,670,0.895550,0.223407,0.148148,-0.330251,0.000000,-0.017498,0.000000,-0.786104,0.000000
3831634020,82,10091,-0.331583,-0.736331,0.633785,0.068916,0.025355,-0.039084,1.279896,0.277972,0.313589
3832996020,7,1292,-0.217911,-0.308888,0.755829,-0.040216,0.000000,-0.048267,0.627706,-0.514768,0.673469
3834420020,81,11001,0.782806,0.510261,0.675687,0.018710,0.017388,-0.040380,0.820921,-0.228763,0.356173
3839586020,708,82109,-0.621677,-0.392561,1.008497,0.132886,0.134628,0.024226,0.706515,-0.434248,0.287968
3839598020,4,738,0.676718,0.708998,0.565111,-0.304135,0.000000,-0.015580,0.565111,-0.438820,0.125000
3840675020,113,13886,-0.141162,-0.363646,0.531484,-0.057339,0.078824,0.022588,0.991735,-0.031833,0.190265
3843851020,31,3936,-0.148913,-0.447495,0.498377,-0.062111,0.016628,-0.044599,0.766740,-0.255079,0.301075
3844424020,10,1009,0.554808,0.463831,0.766000,-0.030045,0.000000,-0.048267,2.061745,0.919271,0.416667
3845837020,112,11625,-0.051169,-0.278135,1.224475,0.285606,0.025210,-0.021634,0.950693,-0.176945,0.007228
3846599020,314,34555,0.397130,0.162497,0.749548,-0.094571,0.050694,0.002825,1.251924,0.163626,0.118684
3846918020,121,13866,0.275187,0.018609,0.549622,-0.156443,0.061035,0.004857,0.582697,-0.490423,0.191460
3847595020,67,7885,0.947166,0.493608,0.497382,-0.089307,0.042043,0.001582,1.427114,0.314300,0.154229
3848260020,17,1608,0.318870,0.174640,0.727692,-0.035544,0.000000,-0.047554,0.837602,-0.275854,0.215686
3848871020,11,1149,1.297204,0.867885,0.558216,-0.171349,0.000000,-0.033505,0.991496,0.019100,0.000000
3850686020,193,24990,0.207059,0.102691,0.660147,-0.081096,0.031812,-0.020398,1.185121,0.034317,0.357081
3851292040,5,415,0.827798,0.600832,0.972725,0.033856,0.000000,-0.046844,3.071710,1.944072,0.000000
3852630020,37,4399,0.350912,0.259935,0.396435,-0.399609,0.119906,0.071639,0.909778,-0.232695,0.283784
3853682040,15,1115,0.146718,0.010411,0.494020,-0.349633,0.000000,-0.047793,6.467627,5.330098,0.066667
3854227020,50,6268,0.251640,-0.163478,0.571445,0.015504,0.159647,0.092735,0.635397,-0.370148,0.170000
3855473040,797,87344,0.331292,0.048229,0.899366,-0.033138,0.044323,-0.015012,1.427704,0.404803,0.272319
3857367020,3,226,1.786530,1.114387,0.000000,-0.478399,0.000000,-0.017498,0.456621,-0.329483,0.000000
3857619020,22,2540,-0.121387,-0.348354,0.745285,-0.193584,0.000000,-0.046844,1.488519,0.360881,0.174242
3858147020,88,11894,0.536425,0.211257,0.759220,0.128299,0.024924,-0.013806,0.834512,-0.339547,0.164773
3858410020,65,6306,-0.908218,-0.758331,0.831074,0.000094,0.656426,0.549443,0.927363,-0.202861,0.392308
3859429020,418,50183,0.150018,-0.132610,0.823578,-0.004799,0.087938,0.036598,1.401093,0.332470,0.229261
3867902020,1,108,0.925926,0.253783,0.000000,-0.478399,0.000000,-0.017498,0.000000,-0.786104,0.000000
