deal_id,acquirer_name,target_name,announcement_date,effective_date,transaction_value_mil,target_public_status,included_passages,documents_retrieved,topic_1_share,topic_2_share,topic_3_share,dominant_topic,dominant_topic_label,dominant_share,dominant_margin,concentration_hhi,theme_profile,ai_label,talent_join_language,talent_acquihire_explicit,talent_license_and_hire_explicit
3480790020,Roper Technologies Inc,Vertafore Inc,2020-08-13,2020-09-03,"5,350.00",Sub.,59,46,0.345634,0.497142,0.157224,topic_2,benefit_plans_and_retirement,0.497142,0.151508,0.391332,benefit_plans_and_retirement,none,no,no,no
3515714020,1-800-Flowers.com Inc,PersonalizationMall.com Inc,2020-02-18,2020-08-03,245.00,Sub.,53,36,0.308081,0.609263,0.082656,topic_2,benefit_plans_and_retirement,0.609263,0.301182,0.472947,benefit_plans_and_retirement,none,no,no,no
3517450020,Intuit Inc,Credit Karma Inc,2020-02-24,2020-12-03,"7,100.00",Priv.,187,125,0.372240,0.221726,0.406034,topic_3,stock_and_equity_awards,0.406034,0.033794,0.352589,mixed,none,no,no,no
3519983020,DocuSign Inc,Seal Software Ltd,2020-02-27,2020-05-01,188.00,Priv.,93,47,0.244555,0.487059,0.268386,topic_2,benefit_plans_and_retirement,0.487059,0.218674,0.369065,benefit_plans_and_retirement,ai_explicit,no,no,no
3521692020,CleanSpark Inc,P2klabs Inc,2020-02-06,2020-02-06,,Priv.,20,40,0.607455,0.197107,0.195438,topic_1,executive_and_officer,0.607455,0.410348,0.446049,executive_and_officer,none,yes,no,no
3523484020,Intellinetics Inc,Graphic Sciences Inc,2020-03-04,2020-03-04,3.50,Priv.,34,61,0.389470,0.576324,0.034205,topic_2,benefit_plans_and_retirement,0.576324,0.186854,0.485007,benefit_plans_and_retirement,none,no,no,no
3525025040,Xerox Holdings Corp,Digitex Canada Inc,2020-03-06,2020-03-06,,,60,84,0.394168,0.200347,0.405485,topic_3,stock_and_equity_awards,0.405485,0.011316,0.359925,mixed,none,no,no,no
3545651040,Simulations Plus Inc,Lixoft SAS,2020-03-31,2020-04-01,16.499,,28,36,0.507671,0.376488,0.115841,topic_1,executive_and_officer,0.507671,0.131183,0.412892,executive_and_officer,none,yes,no,no
3567824020,Rapid7 Inc,Divvy Cloud Corp,2020-04-24,2020-05-01,145.00,Priv.,46,41,0.233431,0.443272,0.323297,topic_2,benefit_plans_and_retirement,0.443272,0.119975,0.355501,benefit_plans_and_retirement,none,yes,no,no
3575962020,Flotek Industries Inc,JP3 Measurement LLC,2020-05-18,2020-05-18,42.80,Priv.,95,156,0.359997,0.477002,0.163001,topic_2,benefit_plans_and_retirement,0.477002,0.117006,0.383698,benefit_plans_and_retirement,none,yes,no,no
3586998020,BIO-key International Inc,PistolStar Inc,2020-06-10,2020-07-28,2.50,Priv.,22,39,0.356727,0.584883,0.058391,topic_2,benefit_plans_and_retirement,0.584883,0.228156,0.472751,benefit_plans_and_retirement,none,no,no,no
3595648020,Uber Technologies Inc,Postmates Inc,2020-07-06,2020-12-01,"2,650.00",Priv.,214,181,0.369718,0.223241,0.407041,topic_3,stock_and_equity_awards,0.407041,0.037322,0.352210,mixed,none,no,no,no
3600947020,Analog Devices Inc,Maxim Integrated Products Inc,2020-07-13,2021-08-26,"21,290.859",Public,227,255,0.335853,0.277296,0.386850,topic_3,stock_and_equity_awards,0.386850,0.050997,0.339344,mixed,none,no,no,no
3601404020,Hewlett Packard Enterprise Co,Silver Peak Systems Inc,2020-07-13,2020-09-21,925.00,Priv.,118,77,0.214765,0.381549,0.403686,topic_3,stock_and_equity_awards,0.403686,0.022137,0.354666,mixed,ai_explicit,yes,no,no
